approach,k,avg_acc,sdev_acc,result_count
ECG200_sax_dist_erp.csv,5,0.684,0.113137084989848,50
ECG200_sax_dist_dtw.csv,5,0.678,0.113010745380378,50
ECG200_sax2_dist_erp.csv,5,0.67,0.126571751047638,50
ECG200_sax_dist_erp.csv,3,0.67,0.129756443747035,50
ECG200_paa_dist_erp.csv,5,0.662,0.0966584561373559,50
ECG200_sax2_dist_euc.csv,5,0.66,0.122890360957752,50
ECG200_paa2_dist_dtw.csv,5,0.66,0.0903507902905251,50
ECG200_sax2_dist_erp.csv,3,0.652,0.16318263212907,50
ECG200_paa2_dist_dtw.csv,1,0.652,0.148791046471903,50
ECG200_raw_dist_erp.csv,5,0.65,0.107380688416949,50
ECG200_paa_dist_dtw.csv,3,0.648,0.114713485142198,50
ECG200_raw_dist_erp.csv,3,0.648,0.119931953496088,50
ECG200_sax_dist_euc.csv,5,0.644,0.101337987719818,50
ECG200_paa_dist_dtw.csv,5,0.64,0.0947607082958686,50
ECG200_sax2_dist_euc.csv,3,0.638,0.129188993023273,50
ECG200_paa2_dist_erp.csv,1,0.636,0.138151056042704,50
ECG200_sax_dist_euc.csv,3,0.636,0.108345629862049,50
ECG200_sax2_dist_erp.csv,1,0.636,0.148131215963608,50
ECG200_paa_dist_erp.csv,3,0.636,0.120813568639234,50
ECG200_sax2_dist_dtw.csv,5,0.634,0.133416640641263,50
ECG200_sax_dist_dtw.csv,3,0.632,0.130054933448469,50
ECG200_sax2_dist_euc.csv,1,0.632,0.137677529178934,50
ECG200_raw_dist_euc.csv,5,0.63,0.109264703862703,50
ECG200_paa_dist_euc.csv,5,0.63,0.103509833901353,50
ECG200_raw_dist_erp.csv,1,0.628,0.114357120549654,50
ECG200_paa2_dist_erp.csv,3,0.622,0.113010745380378,50
ECG200_paa2_dist_euc.csv,5,0.622,0.118304346358648,50
ECG200_paa2_dist_lcss.csv,1,0.62,0.160356745147455,50
ECG200_paa2_dist_dtw.csv,3,0.618,0.135058566283411,50
ECG200_paa_dist_lcss.csv,5,0.616,0.148955547402709,50
ECG200_paa_dist_dtw.csv,1,0.614,0.117820340574373,50
ECG200_paa2_dist_erp.csv,5,0.614,0.116075274661554,50
ECG200_raw_dist_dtw.csv,5,0.612,0.106215030259663,50
ECG200_paa2_dist_lcss.csv,3,0.61,0.116496474502144,50
ECG200_paa2_dist_euc.csv,3,0.608,0.120948631362953,50
ECG200_sax_dist_erp.csv,1,0.606,0.131568248759466,50
ECG200_paa2_dist_euc.csv,1,0.604,0.124474405204526,50
ECG200_paa_dist_erp.csv,1,0.602,0.140683462904116,50
ECG200_raw_dist_euc.csv,1,0.602,0.158423354287408,50
ECG200_sax2_dist_dtw.csv,3,0.598,0.154510418379328,50
ECG200_paa_dist_euc.csv,3,0.594,0.133110357774813,50
ECG200_raw_dist_dtw.csv,3,0.594,0.128428491975186,50
ECG200_paa_dist_lcss.csv,1,0.586,0.164142794976987,50
ECG200_paa_dist_lcss.csv,3,0.586,0.159091810228034,50
ECG200_sax_dist_dtw.csv,1,0.584,0.134558992449333,50
ECG200_raw_dist_euc.csv,3,0.582,0.136561266806649,50
ECG200_paa2_dist_lcss.csv,5,0.58,0.101015254455221,50
ECG200_raw_dist_dtw.csv,1,0.578,0.113010745380378,50
ECG200_paa_dist_euc.csv,1,0.578,0.116566526507573,50
ECG200_sax_dist_lcss.csv,5,0.576,0.147855417519264,50
ECG200_sax2_dist_dtw.csv,1,0.574,0.170006002294997,50
ECG200_sax_dist_euc.csv,1,0.55,0.116496474502143,50
ECG200_sax_dist_lcss.csv,3,0.54,0.170233932683043,50
ECG200_raw_dist_lcss.csv,1,0.53,0.159399382888724,50
ECG200_sax2_dist_lcss.csv,5,0.526,0.129062554047031,50
ECG200_raw_dist_lcss.csv,5,0.496,0.156439986537187,50
ECG200_sax_dist_lcss.csv,1,0.494,0.183403202518052,50
ECG200_sax2_dist_lcss.csv,3,0.486,0.159091810228034,50
ECG200_sax2_dist_lcss.csv,1,0.478,0.126636229783887,50
ECG200_raw_dist_lcss.csv,3,0.452,0.160661896222966,50
