approach,k,avg_acc,sdev_acc,result_count
GunPointMaleVersusFemale_paa_dist_erp.csv,5,1,0,50
GunPointMaleVersusFemale_paa_dist_euc.csv,5,1,0,50
GunPointMaleVersusFemale_paa2_dist_erp.csv,3,1,0,50
GunPointMaleVersusFemale_paa2_dist_erp.csv,5,1,0,50
GunPointMaleVersusFemale_paa2_dist_euc.csv,3,1,0,50
GunPointMaleVersusFemale_paa2_dist_euc.csv,5,1,0,50
GunPointMaleVersusFemale_raw_dist_erp.csv,5,1,0,50
GunPointMaleVersusFemale_raw_dist_euc.csv,5,1,0,50
GunPointMaleVersusFemale_paa_dist_dtw.csv,5,0.99,0.0303045763365663,50
GunPointMaleVersusFemale_paa2_dist_dtw.csv,5,0.99,0.0303045763365663,50
GunPointMaleVersusFemale_paa_dist_erp.csv,3,0.99,0.0303045763365663,50
GunPointMaleVersusFemale_raw_dist_erp.csv,3,0.99,0.0303045763365663,50
GunPointMaleVersusFemale_paa_dist_euc.csv,3,0.986,0.0350509832753866,50
GunPointMaleVersusFemale_raw_dist_erp.csv,1,0.982,0.0388087934491604,50
GunPointMaleVersusFemale_paa2_dist_dtw.csv,3,0.98,0.0451753951452626,50
GunPointMaleVersusFemale_raw_dist_dtw.csv,5,0.98,0.0404061017820884,50
GunPointMaleVersusFemale_paa2_dist_erp.csv,1,0.974,0.0486973158544552,50
GunPointMaleVersusFemale_paa2_dist_euc.csv,1,0.974,0.0486973158544552,50
GunPointMaleVersusFemale_raw_dist_euc.csv,3,0.97,0.0580288457473997,50
GunPointMaleVersusFemale_paa_dist_erp.csv,1,0.966,0.0478518120698406,50
GunPointMaleVersusFemale_paa_dist_dtw.csv,3,0.96,0.063887656499994,50
GunPointMaleVersusFemale_raw_dist_euc.csv,1,0.958,0.060911444586651,50
GunPointMaleVersusFemale_paa_dist_euc.csv,1,0.956,0.0540596797954986,50
GunPointMaleVersusFemale_raw_dist_dtw.csv,3,0.95,0.0677630927178938,50
GunPointMaleVersusFemale_raw_dist_dtw.csv,1,0.942,0.0730948503169487,50
GunPointMaleVersusFemale_sax_dist_dtw.csv,5,0.93,0.0814411017927956,50
GunPointMaleVersusFemale_sax_dist_erp.csv,5,0.93,0.0814411017927956,50
GunPointMaleVersusFemale_sax_dist_euc.csv,5,0.93,0.0814411017927956,50
GunPointMaleVersusFemale_sax2_dist_dtw.csv,5,0.93,0.0814411017927956,50
GunPointMaleVersusFemale_sax2_dist_erp.csv,5,0.93,0.0814411017927956,50
GunPointMaleVersusFemale_sax2_dist_euc.csv,5,0.93,0.0814411017927956,50
GunPointMaleVersusFemale_sax_dist_dtw.csv,3,0.926,0.0777489418525016,50
GunPointMaleVersusFemale_sax_dist_erp.csv,3,0.926,0.0777489418525016,50
GunPointMaleVersusFemale_sax_dist_euc.csv,3,0.926,0.0777489418525016,50
GunPointMaleVersusFemale_sax2_dist_dtw.csv,3,0.926,0.0777489418525016,50
GunPointMaleVersusFemale_sax2_dist_erp.csv,3,0.926,0.0777489418525016,50
GunPointMaleVersusFemale_sax2_dist_euc.csv,3,0.926,0.0777489418525016,50
GunPointMaleVersusFemale_paa2_dist_dtw.csv,1,0.918,0.084972984902646,50
GunPointMaleVersusFemale_paa_dist_dtw.csv,1,0.886,0.0857380919321352,50
GunPointMaleVersusFemale_sax_dist_dtw.csv,1,0.868,0.0957036241396813,50
GunPointMaleVersusFemale_sax_dist_erp.csv,1,0.868,0.0957036241396813,50
GunPointMaleVersusFemale_sax_dist_euc.csv,1,0.868,0.0957036241396813,50
GunPointMaleVersusFemale_sax2_dist_dtw.csv,1,0.868,0.0957036241396813,50
GunPointMaleVersusFemale_sax2_dist_erp.csv,1,0.868,0.0957036241396813,50
GunPointMaleVersusFemale_sax2_dist_euc.csv,1,0.868,0.0957036241396813,50
GunPointMaleVersusFemale_paa_dist_lcss.csv,1,0.71,0.140334876459918,50
GunPointMaleVersusFemale_paa_dist_lcss.csv,3,0.71,0.140334876459918,50
GunPointMaleVersusFemale_paa_dist_lcss.csv,5,0.71,0.140334876459918,50
GunPointMaleVersusFemale_paa2_dist_lcss.csv,1,0.71,0.140334876459918,50
GunPointMaleVersusFemale_paa2_dist_lcss.csv,3,0.71,0.140334876459918,50
GunPointMaleVersusFemale_paa2_dist_lcss.csv,5,0.71,0.140334876459918,50
GunPointMaleVersusFemale_raw_dist_lcss.csv,1,0.71,0.140334876459918,50
GunPointMaleVersusFemale_raw_dist_lcss.csv,3,0.71,0.140334876459918,50
GunPointMaleVersusFemale_raw_dist_lcss.csv,5,0.71,0.140334876459918,50
GunPointMaleVersusFemale_sax_dist_lcss.csv,1,0.71,0.140334876459918,50
GunPointMaleVersusFemale_sax_dist_lcss.csv,3,0.71,0.140334876459918,50
GunPointMaleVersusFemale_sax_dist_lcss.csv,5,0.71,0.140334876459918,50
GunPointMaleVersusFemale_sax2_dist_lcss.csv,1,0.71,0.140334876459918,50
GunPointMaleVersusFemale_sax2_dist_lcss.csv,3,0.71,0.140334876459918,50
GunPointMaleVersusFemale_sax2_dist_lcss.csv,5,0.71,0.140334876459918,50
